"source","target"
"From","De"
"To","À"
"Subject","Objet"
"Reply to","Répondre à"
"From:","De :"
"To:","À :"
"Failed","Échec"
"Technical failure","Échec technique"
"Inbox not accepting messages right now","La boîte de réception n’accepte pas de messages à l’heure actuelle"
"Delivered","Livraison réussie"
"Sending","Envoi en cours"
"Phone number not accepting messages right now","Le numéro de téléphone n’accepte pas de messages à l’heure actuelle"
"Sent","Envoyé"
"Email address","Adresse courriel"
"email address","adresse courriel"
"phone number","numéro de téléphone"
"This cannot be empty","Ceci ne peut pas être vide"
"Mobile number","Téléphone cellulaire"
"Password","Mot de passe"
"Must be at least 8 characters","Doit contenir au moins 8 caractères"
"Choose a password that’s harder to guess","Choisissez un mot de passe plus robuste"
"Numbers only","Chiffres uniquement"
"Not enough numbers","Pas assez de chiffres"
"Too many numbers","Trop de chiffres"
"Not a valid choice","Choix non valide"
"Enter your password","Entrez votre mot de passe"
"Full name","Nom complet"
"Templates","Gabarits"
"Folders this team member can see","Dossiers visibles par ce membre de l'équipe"
"Log in using","Se connecter avec"
"Text message code","Code envoyé par message texte"
"Email link","Lien envoyé par courriel"
"You cannot send an invitation to yourself","Vous ne pouvez pas vous envoyer une invitation."
"Please enter security code","Veuillez entrer le code de sécurité."
"Service name","Nom du service"
"Sending domain","Envoi du domaine"
"STMP name","Nom du SMTP"
"Domain names","Noms de domaines"
"What’s your service called?","Quel est le nom de votre service?"
"Who runs this service?","Qui assure la gestion du service?"
"What’s your key called?","Quel est le nom de votre clé?"
"Numbers of text message fragments per year","Nombre de fragments de messages texte par année"
"Enter password","Entrez le mot de passe"
"Invalid password","Mot de passe non valide"
"Template name","Nom du gabarit"
"Message","Message"
"Use priority queue?","Utiliser une file de priorité?"
"Yes","Oui"
"No","Non"
"The email address is already in use","L’adresse courriel est déjà prise"
"When should <i>Notify</i> send these messages?","À quel moment <i>Notification</i> devrait-il envoyer ces messages?"
"Type of key","Type de clé"
"You need to give the key a name","Vous devez nommer la clé"
"A key with this name already exists","Il existe déjà une clé ayant ce nom"
"Inbound SMS number","Numéro SMS entrant"
"You need to provide a number","Vous devez fournir un numéro"
"This number already exists","Ce numéro existe déjà"
"Ask a question or give feedback","Nous joindre"
"Your name","Votre nom"
"Ask a question","Poser une question"
"Give feedback","Donner votre avis"
"Set up a demo","Organiser une démo"
"Other","Autre"
"Your email","Votre courriel"
"Your phone","Votre téléphone"
"Phone number","Numéro de téléphone"
"Reply-to email address","Adresse courriel de réponse"
"Make this email address the default","Utilisez cette adresse courriel par défaut"
"Text message sender","Expéditeur de messages texte"
"Enter 11 characters or fewer","Entrez 11 caractères ou moins"
"Enter 4 characters or more","Entrez 4 caractères ou plus"
"Make this text message sender the default","Utilisez cet expéditeur de messages texte par défaut"
"On","Activé"
"Off","Désactivé"
"Send","Envoyer"
"emails","courriels"
"text messages","messages texte"
"letters","lettres"
"Email addresses","Adresses courriel"
"Mobile numbers","Numéros de téléphone cellulaire"
"Search by name","Cherchez par nom"
"Search by name or email address","Cherchez par nom ou par adresse courriel"
"You need to enter full or partial email address to search by.","Vous devez écrire une adresse courriel complète ou partielle pour faire une recherche."
"Search by email address","Cherchez par adresse courriel"
"Search by phone number","Cherchez par numéro de téléphone"
"Search by phone number or email address","Chercher par numéro de téléphone ou par adresse courriel"
"Must be a valid https URL","L’URL https doit être valide"
"Bearer token","Jeton Bearer"
"Must be at least 10 characters","Doit contenir au moins 10 caractères"
"Send text messages to international phone numbers","Envoyez des messages texte à des numéros de téléphone internationaux"
"Folder name","Nom du dossier"
"Email","Courriel"
"Text message","Message texte"
"Choose a folder","Choisissez un dossier"
"New template","Nouveau gabarit"
"Select the type of template you want to add","Sélectionnez le type de gabarit que vous voulez ajouter"
"What’s their name?","Quel est son nom?"
"What’s their email address?","Quelle est son adresse courriel?"
"Password is blacklisted.","Le mot de passe est sur une liste noire."
"Not a csv file","Il ne s’agit pas d’un fichier CSV"
"is not a spreadsheet that Notify can read","n’est pas une feuille de calcul que <i>Notification</i> peut lire"
"Enter a government email address.","Entrez une adresse courriel du gouvernement."
"If you think you should have access","Si vous pensez que vous devriez avoir accès"
"contact us","communiquer avec nous"
"Enter a valid email address","Entrez une adresse courriel valide"
"You cannot put commas between double brackets","Vous ne pouvez pas insérer de virgules entre les parenthèses doubles"
"Name your service in both official languages","Nommez votre service dans les deux langues officielles"
"Safelist updated","Liste de confiance mise à jour"
"Live – sends to anyone","En fonction — permet d’envoyer des messages à tout le monde"
"Team and safelist – limits who you can send to","Équipe et liste de confiance — limite le nombre de personnes à qui vous pouvez faire des envois"
"Test – pretends to send messages","Test — simule l’envoi de messages"
"Not available because your service is in ","Non disponible parce que votre service est en "
"trial mode","mode d’essai"
"Are you sure you want to revoke","Voulez-vous vraiment révoquer"
"You will not be able to use this API key to connect to <i>Notify</i>","Vous ne pourrez pas utiliser cette clé API pour vous connecter à <i>Notification</i>."
"was revoked","a été révoquée"
"Received","Reçu"
"January","Janvier"
"February","Février"
"March","Mars"
"April","Avril"
"May","Mai"
"June","Juin"
"July","Juillet"
"August","Août"
"September","Septembre"
"October","Octobre"
"November","Novembre"
"December","Décembre"
"Invalid month","Mois non valide"
"financial year","exercice financier"
"to","à"
"Invite sent to","Invitation envoyée à"
"(Default)","(Par défaut)"
"(Receives replies)","(Reçoit les réponses)"
"(Default and receives replies)","(Reçoit les réponses par défaut)"
"Where should replies come back to?","À qui doivent revenir les réponses?"
"Send to one recipient","Envoyer à un destinataire"
"What should appear in the top right of the letter?","Qu'est-ce qui devrait apparaître en haut à droit de la lettre?"
"Who should the message come from?","De qui le message devrait-il provenir?"
"Use my","Utiliser mon"
"Example text message","Exemple de message texte"
"Personalise this message","Personnalisez le message"
"This service name is already in use","Ce nom de service a déjà été utilisé"
"Change your service name","Modifier le nom du service"
"Thank you for your request to go live. We’ll get back to you within one working day.","Merci pour votre demande d'activation du service. Nous communiquerons avec vous dans un délai d'un jour ouvrable."
"‘%(service_name)s’ was deleted","‘%(service_name)s’ a été supprimé"
"Are you sure you want to delete","Voulez-vous vraiment supprimer"
"There’s no way to undo this.","Cette action est irréversible."
"This will suspend the service and revoke all API keys. Are you sure you want to suspend this service?","Ceci suspendra le service et révoquera toutes les clés API associées. Voulez-vous vraiment suspendre ce service?"
"This will resume the service. New API keys are required for this service to use the API","Ceci vous permettra de reprendre le service. Vous devrez créer de nouvelles clés API pour que ce service puisse utiliser l'API."
"Sending domain updated","Domaine d'envoi mis à jour"
"Change","Modifier"
"Add","Ajouter"
"Are you sure you want to delete this reply-to email address?","Voulez-vous vraiment supprimer cette adresse courriel de réponse?"
"Start all text messages with","Commencez tous les messages texte par"
"Are you sure you want to delete this contact block?","Voulez-vous vraiment supprimer ce bloc de contacts?"
"Are you sure you want to delete this text message sender?","Voulez-vous vraiment supprimer l'expéditeur de ce message texte?"
"The email address or password you entered is incorrect.","L’adresse courriel ou le mot de passe que vous avez entré est inexact."
"Select at least one template or folder","Sélectionnez au moins un gabarit ou un dossier"
"All","Tout"
"Letter","Lettre"
"You must empty this folder before you can delete it","Vous devez vider le dossier avant de le supprimer"
"Folder is not empty","Le dossier n’est pas vide"
"Are you sure you want to delete the","Voulez-vous vraiment supprimer le dossier"
"folder?","?"
"New","Nouveau"
"Edit","Modifier"
"more than seven days","plus de 7 jours"
"This template was last used","Ce gabarit a été utilisé il y a"
"ago.","."
"Personalised content will be hidden for messages sent with this template","Le contenu personnalisé sera masqué pour les messages envoyés à l'aide de ce gabarit"
"Email resent","Courriel renvoyé"
"Check your email","Vérifiez votre courriel"
"See dashboard","Voir le tableau de bord"
"Send messages","Envoyer des messages"
"Add and edit templates","Ajouter et modifier des gabarits"
"Manage settings and teams","Gérer les paramètres et les équipes"
"Manage API integration","Gérer l’intégration de l’API"
"default","par défaut"
"Email template","Gabarit de courriel"
"Text message template","Gabarit de message texte"
"Letter template","Gabarit de lettre"
"Notification","Notification"
"Menu","Menu"
"Technical documentation","Documentation technique"
"Platform admin","Administrateur de la plateforme"
"Log out","Se déconnecter"
"Log in","Se connecter"
"Terms of Use","Conditions d’utilisation"
"Message status","État des messages"
"Privacy","Confidentialité"
"Security","Sécurité"
"research mode","mode de recherche"
"cancel","annuler"
"delete","supprimer"
"suspend","interrompre"
"resume","reprendre"
"remove","retirer"
"revoke this API key","révoquer cette clé API"
"block","bloquer"
"archive","archiver"
"Try again","Réessayer"
"Unblock","Débloquer"
"Dashboard","Tableau de bord"
"Sent messages","Messages envoyés"
"Uploaded files","Fichiers téléversés"
"Uploads","Téléversements"
"Team members","Votre équipe"
"Settings","Paramètres"
"API integration","Intégrer l'API"
"SMTP integration","Intégrer via SMTP"
"Now","Maintenant"
"Done","Terminer"
"Copy template","Copier le gabarit"
"New folder","Nouveau dossier"
"Nothing selected","Rien n’est sélectionné"
"selection","sélection"
"selections","sélections"
"Choose a different time","Choisissez un autre moment"
"Clear","Effacer"
"Cancel","Annuler"
"Add to new folder","Ajouter à un nouveau dossier"
"Move","Déplacer"
"AM","AM"
"PM","PM"
