"location","source","target"
"app/__init__.py:710","…and {} more",""
"app/__init__.py:908","There’s something wrong with the link you’ve used.",""
"app/main/sitemap.py:75 app/navigation.py:35 app/navigation.py:102 app/templates/views/choose-account.html:52 app/templates/views/choose-account.html:58 app/templates/views/choose-account.html:61","Your services",""
"app/navigation.py:36 app/templates/views/choose-account.html:80 app/templates/views/find-users/user-information.html:16","Live services",""
"app/navigation.py:37 app/templates/org_template.html:38 app/templates/views/choose-account.html:95 app/templates/views/find-users/user-information.html:32 app/templates/views/organisations/organisation/trial-mode-services.html:11","Trial services",""
"app/navigation.py:38 app/templates/views/organisations/index.html:14","Organisations",""
"app/navigation.py:39 app/templates/views/platform-admin/api_keys_ranked.html:5","Live API keys",""
"app/navigation.py:40 app/templates/views/email-branding/select-branding.html:6 app/templates/views/email-branding/select-branding.html:11 app/templates/views/service-settings.html:141 app/templates/views/service-settings.html:435","Email branding",""
"app/navigation.py:41 app/templates/views/templates/template_categories.html:7 app/templates/views/templates/template_categories.html:12 app/templates/views/templates/template_categories.html:18 app/templates/views/templates/template_category.html:9","Template categories",""
"app/navigation.py:42 app/templates/views/find-services/find-services-by-name.html:7 app/templates/views/find-services/find-services-by-name.html:13","Search for service",""
"app/navigation.py:43 app/templates/views/find-users/find-users-by-email.html:7 app/templates/views/find-users/find-users-by-email.html:13","Search for user",""
"app/navigation.py:44 app/templates/views/find-ids/find-ids.html:7 app/templates/views/find-ids/find-ids.html:13","Search for ids",""
"app/navigation.py:45 app/templates/views/platform-admin/complaints.html:14","Email complaints",""
"app/navigation.py:46 app/templates/views/platform-admin/reports.html:10","Reports",""
"app/navigation.py:47","Inbound SMS numbers",""
"app/navigation.py:48","Providers",""
"app/navigation.py:49","Clear cache",""
"app/navigation.py:56 app/navigation.py:101 app/navigation.py:109 app/templates/partials/nav/gc_header.html:49 app/templates/views/choose-account.html:67 app/templates/views/platform-admin/index.html:9 app/templates/views/platform-admin/reports.html:4","Admin panel",""
"app/navigation.py:58 app/navigation.py:111 app/templates/views/dashboard/dashboard.html:10 app/templates/views/dashboard/dashboard.html:17","Dashboard",""
"app/main/forms.py:473 app/models/service.py:553 app/navigation.py:64 app/templates/components/folder-path.html:34 app/templates/components/folder-path.html:36 app/templates/views/storybook/disclosure-menu.html:50","Templates",""
"app/navigation.py:69 app/templates/views/jobs/jobs.html:16 app/templates/views/notifications.html:17","Sent messages",""
"app/navigation.py:75 app/templates/views/dashboard/_jobs.html:8 app/templates/views/dashboard/dashboard.html:43 app/templates/views/jobs/jobs.html:5 app/templates/views/jobs/jobs.html:9","Bulk sends",""
"app/navigation.py:81 app/templates/views/api/index.html:6 app/templates/views/api/index.html:12","API integration",""
"app/navigation.py:87 app/navigation.py:121 app/templates/org_template.html:26 app/templates/views/manage-users.html:10 app/templates/views/manage-users.html:35 app/templates/views/organisations/organisation/users/index.html:9 app/templates/views/organisations/organisation/users/index.html:15","Team members",""
"app/navigation.py:92 app/navigation.py:116 app/templates/org_template.html:32 app/templates/views/organisations/organisation/settings/index.html:5 app/templates/views/organisations/organisation/settings/index.html:9 app/templates/views/service-settings.html:5 app/templates/views/service-settings.html:14 app/templates/views/service-settings.html:267","Settings",""
"app/main/sitemap.py:17 app/main/views/contact.py:132 app/navigation.py:129 app/navigation.py:148 app/templates/contact_template.html:9 app/templates/partials/nav/footer.html:40","Contact us",""
"app/navigation.py:134 app/templates/views/user-profile.html:7 app/templates/views/user-profile.html:14","Your profile",""
"app/navigation.py:135 app/templates/components/tou-prompt.html:71","Sign out",""
"app/navigation.py:143","Home",""
"app/navigation.py:144 app/templates/partials/nav/footer.html:17","By and for the GC",""
"app/main/sitemap.py:18 app/navigation.py:145 app/templates/partials/nav/footer.html:18 app/templates/views/contact/thanks.html:24 app/templates/views/emails.html:16 app/templates/views/text-messages.html:16","Features",""
"app/main/sitemap.py:41 app/navigation.py:146 app/templates/partials/nav/footer.html:32 app/templates/views/contact/thanks.html:32","API documentation",""
"app/main/sitemap.py:43 app/navigation.py:147 app/templates/partials/nav/footer.html:33 app/templates/views/contact/thanks.html:28","Guidance",""
"app/main/forms.py:131 app/main/forms.py:386 app/main/forms.py:1121 app/main/forms.py:2158 app/templates/partials/add-service/step-create-service.html:25 app/templates/views/user-profile.html:17 app/utils.py:66 app/utils.py:67","Email address",""
"app/main/forms.py:1122 app/templates/main_template.html:130 app/utils.py:68 app/utils.py:69","Phone number",""
"app/utils.py:70","Row number",""
"app/templates/partials/jobs/notifications.html:9 app/templates/partials/notifications/notifications.html:6 app/templates/views/activity/notifications.html:9 app/utils.py:71","Recipient",""
"app/templates/components/message-count-label.html:81 app/templates/components/message-count-label.html:91 app/templates/partials/jobs/status.html:45 app/templates/views/dashboard/all-template-statistics.html:33 app/templates/views/dashboard/template-statistics.html:8 app/templates/views/jobs/job.html:73 app/utils.py:72","Template",""
"app/templates/components/template-filter.html:34 app/templates/views/platform-admin/services.html:39 app/utils.py:73","Type",""
"app/templates/partials/jobs/status.html:16 app/utils.py:74","Sent by",""
"app/utils.py:75","Sent by email",""
"app/utils.py:76","Job",""
"app/templates/partials/jobs/notifications.html:11 app/templates/partials/notifications/notifications.html:7 app/templates/views/activity/notifications.html:11 app/templates/views/reports/reports-table.html:5 app/utils.py:77","Status",""
"app/utils.py:78","Sent Time",""
"app/utils.py:198 app/utils.py:200 app/utils.py:203 app/utils.py:205 app/utils.py:208 app/utils.py:210","fix",""
"app/templates/components/message-count-label.html:62 app/templates/views/api/safelist.html:70 app/utils.py:200","phone numbers",""
"app/templates/components/message-count-label.html:68 app/templates/views/api/safelist.html:61 app/utils.py:205","email addresses",""
"app/templates/components/message-count-label.html:72 app/templates/components/message-count-label.html:99 app/templates/views/dashboard/_totals.html:9 app/templates/views/dashboard/review-email-list.html:8 app/utils.py:208","address",""
"app/templates/components/message-count-label.html:74 app/templates/components/message-count-label.html:101 app/templates/views/dashboard/_totals.html:10 app/templates/views/dashboard/review-email-list.html:9 app/utils.py:210","addresses",""
"app/utils.py:215","enter missing data in 1 row",""
"app/utils.py:217","enter missing data in {} rows",""
"app/utils.py:222","added custom content exceeds the {} character limit in 1 row",""
"app/utils.py:225","added custom content exceeds the {} character limit in {} rows",""
"app/utils.py:254","1 recipient appears more than once in your list. They will receive the notification multiple times.",""
"app/utils.py:258","{} recipients appear more than once in your list. They will receive the notification multiple times.",""
"app/utils.py:265","{} rows are duplicates of an earlier row.",""
"app/utils.py:328 app/utils.py:338","template_type",""
"app/utils.py:330 app/utils.py:342","status",""
"app/utils.py:801","January",""
"app/utils.py:802","February",""
"app/utils.py:803","March",""
"app/utils.py:804","April",""
"app/utils.py:805","May",""
"app/utils.py:806","June",""
"app/utils.py:807","July",""
"app/utils.py:808","August",""
"app/utils.py:809","September",""
"app/utils.py:810","October",""
"app/utils.py:811","November",""
"app/utils.py:812","December",""
"app/utils.py:815","Invalid month",""
"app/main/forms.py:122","You need to choose an option",""
"app/main/forms.py:132","Enter an email address",""
"app/main/forms.py:176 app/main/forms.py:180 app/main/forms.py:187 app/main/forms.py:202 app/main/forms.py:209 app/main/forms.py:389 app/main/forms.py:398 app/main/forms.py:412 app/main/forms.py:447 app/main/forms.py:451 app/main/forms.py:571 app/main/forms.py:588 app/main/forms.py:606 app/main/forms.py:671 app/main/forms.py:680 app/main/forms.py:742 app/main/forms.py:775 app/main/forms.py:785 app/main/forms.py:794 app/main/forms.py:802 app/main/forms.py:812 app/main/forms.py:821 app/main/forms.py:843 app/main/forms.py:849 app/main/forms.py:886 app/main/forms.py:900 app/main/forms.py:907 app/main/forms.py:912 app/main/forms.py:1172 app/main/forms.py:1471 app/main/forms.py:1479 app/main/forms.py:1489 app/main/forms.py:1497 app/main/forms.py:1552 app/main/forms.py:1643 app/main/forms.py:1654 app/main/forms.py:1820 app/main/forms.py:1945 app/main/forms.py:2105 app/main/forms.py:2106 app/main/forms.py:2116 app/main/forms.py:2117 app/main/forms.py:2132 app/main/forms.py:2141 app/main/forms.py:2160 app/main/validators.py:233","This cannot be empty",""
"app/main/forms.py:179 app/main/forms.py:999 app/templates/views/user-profile/manage-phones.html:8","Mobile number",""
"app/main/forms.py:183 app/main/forms.py:393 app/templates/views/user-profile.html:23","Password",""
"app/main/forms.py:188","Must be at least 8 characters",""
"app/main/forms.py:191","Use a mix of at least 8 numbers, special characters, upper and lower case letters. Separate any words with a space.",""
"app/main/forms.py:198","Current password",""
"app/main/forms.py:210","Numbers only",""
"app/main/forms.py:211 app/main/forms.py:212","Code must have 5 numbers",""
"app/main/forms.py:348","Not a valid choice",""
"app/main/forms.py:393","Enter your password",""
"app/main/forms.py:398 app/main/forms.py:412","Full name",""
"app/main/forms.py:400 app/main/forms.py:414 app/main/forms.py:434 app/main/forms.py:450 app/templates/views/user-profile.html:18","Contact number",""
"app/main/forms.py:408 app/main/forms.py:422 app/templates/components/tou-dialog.html:4","Read and agree to continue",""
"app/main/forms.py:478","Folders {} can see",""
"app/main/forms.py:481","Folders this team member can see",""
"app/main/forms.py:484","Sign in using",""
"app/main/forms.py:486","Text message code",""
"app/main/forms.py:487","Email code",""
"app/main/forms.py:518 app/main/forms.py:530","You cannot send an invitation to yourself",""
"app/main/forms.py:542","Enter code",""
"app/main/forms.py:569","Bilingual service name",""
"app/main/forms.py:586 app/main/forms.py:678","Enter the part before ‘@notification.canada.ca’",""
"app/main/forms.py:600 app/templates/views/service-settings.html:472 app/templates/views/service-settings/sending_domain.html:18","Sending domain",""
"app/main/forms.py:605","Organisation name",""
"app/main/forms.py:611","What type of organisation is this?",""
"app/main/forms.py:616","Is this organisation a crown body?",""
"app/main/forms.py:618 app/main/forms.py:629 app/main/forms.py:1545 app/main/views/user_profile.py:520 app/templates/components/is-problem-email.html:3 app/templates/partials/flash_messages.html:7 app/templates/views/organisations/organisation/settings/index.html:39 app/templates/views/service-settings.html:298 app/templates/views/user-profile.html:35","Yes",""
"app/main/forms.py:619 app/main/forms.py:630 app/main/forms.py:1546 app/main/views/user_profile.py:521 app/templates/components/is-problem-email.html:5 app/templates/views/organisations/organisation/settings/index.html:40 app/templates/views/service-settings.html:299 app/templates/views/user-profile.html:35","No",""
"app/main/forms.py:620 app/templates/views/organisations/organisation/settings/index.html:42","Not sure",""
"app/main/forms.py:627","Has this organisation signed the agreement?",""
"app/main/forms.py:631","No (but we have some service-specific agreements in place)",""
"app/main/forms.py:651","Domain names",""
"app/main/forms.py:669","Enter bilingual service name",""
"app/main/forms.py:689","Select your department or organisation",""
"app/main/forms.py:689","Choose name from drop-down menu",""
"app/main/forms.py:693","Enter any other names for your group",""
"app/main/forms.py:700","Enter name of your group",""
"app/main/forms.py:701 app/main/forms.py:756 app/main/forms.py:973","Enter name to continue",""
"app/main/forms.py:713 app/main/forms.py:737 app/main/forms.py:2066 app/main/views/email_branding.py:207 app/main/views/service_settings.py:1409","English-first",""
"app/main/forms.py:717","Bilingual logo with Government of Canada written first in English, then in French",""
"app/main/forms.py:721 app/main/forms.py:738 app/main/forms.py:2067 app/main/views/email_branding.py:208 app/main/views/service_settings.py:1410","French-first",""
"app/main/forms.py:725","Bilingual logo with Government of Canada written first in French, then in English",""
"app/main/forms.py:735","Select which language shows first <span class='sr-only'>&nbsp;used in the Government of Canada signature</span>",""
"app/main/forms.py:755","What’s your key called?",""
"app/main/forms.py:773 app/main/views/service_settings.py:1122 app/templates/views/service-settings.html:336","Daily email limit",""
"app/main/forms.py:783","Daily email message limit",""
"app/main/forms.py:793 app/main/views/service_settings.py:1139 app/templates/views/service-settings.html:347","Daily text message limit",""
"app/main/forms.py:800 app/main/views/service_settings.py:1157 app/templates/views/service-settings.html:370","Annual text message limit",""
"app/main/forms.py:810 app/main/views/service_settings.py:1175 app/templates/views/service-settings.html:358","Annual email limit",""
"app/main/forms.py:820","Numbers of text messages per fiscal year",""
"app/main/forms.py:830","Enter password",""
"app/main/forms.py:834 app/main/forms.py:960","Try again. Something’s wrong with this password",""
"app/main/forms.py:842 app/templates/views/templates/sample_library.html:31","Template name",""
"app/main/forms.py:847 app/main/forms.py:1074 app/templates/views/contact/message.html:5","Message",""
"app/main/forms.py:857","Select a priority queue",""
"app/main/forms.py:859","Bulk — Not time-sensitive",""
"app/main/forms.py:860 app/main/forms.py:2129 app/main/forms.py:2138","Normal",""
"app/main/forms.py:861","Priority — Time-sensitive",""
"app/main/forms.py:862","Use template category",""
"app/main/forms.py:886","Select category",""
"app/main/forms.py:889","Describe category",""
"app/main/forms.py:907","Subject line of the email",""
"app/main/forms.py:910","Email content",""
"app/main/forms.py:917 app/templates/views/edit-email-template.html:103 app/templates/views/edit-email-template.html:108","Use ((unsubscribe_url)) for one-click unsubscribe",""
"app/main/forms.py:956","New password",""
"app/main/forms.py:965 app/templates/views/send.html:71","Choose a file",""
"app/main/forms.py:972 app/main/forms.py:1057","Your name",""
"app/main/forms.py:982","Enter your email address to continue",""
"app/main/forms.py:987","This email address already has a GC Notify account",""
"app/main/forms.py:1011","When should we send these messages?",""
"app/main/forms.py:1022","Type of API key",""
"app/main/forms.py:1027","You need to give the key a name",""
"app/main/forms.py:1031 app/templates/views/api/keys.html:88","API key permissions",""
"app/main/forms.py:1032","Allow this key to manage templates (create, update, or delete)",""
"app/main/forms.py:1037","A key with this name already exists",""
"app/main/forms.py:1046","Inbound SMS number",""
"app/main/forms.py:1047","You need to provide a number",""
"app/main/forms.py:1052","This number already exists",""
"app/main/forms.py:1056","Enter your name",""
"app/main/forms.py:1059","How can we help?",""
"app/main/forms.py:1061 app/main/views/contact.py:127","Ask a question",""
"app/main/forms.py:1062 app/main/views/contact.py:124","Get technical support",""
"app/main/forms.py:1063 app/main/views/contact.py:121","Give feedback",""
"app/main/forms.py:1064","Report accessibility issues",""
"app/main/forms.py:1065","Sign up to our newsletter",""
"app/main/forms.py:1066 app/main/views/templates.py:521 app/main/views/templates.py:1114 app/main/views/templates.py:1117 app/templates/components/template-category.html:4 app/templates/views/templates/_template_list.html:37 app/templates/views/templates/_template_list.html:70","Other",""
"app/main/forms.py:1069","Your email",""
"app/main/forms.py:1075","You need to enter something if you want to contact us",""
"app/main/forms.py:1088 app/templates/views/service-settings/branding/manage-email-branding.html:59","Upload logo",""
"app/main/forms.py:1089","Your logo must be an image in PNG format",""
"app/main/forms.py:1142","Must be a valid phone number",""
"app/main/forms.py:1163 app/templates/views/service-settings/set-reply-to-email.html:8 app/templates/views/service-settings/set-reply-to-email.html:14","Reply-to email address",""
"app/main/forms.py:1165","Make this email address the default",""
"app/main/forms.py:1170","Text message sender",""
"app/main/forms.py:1173","Enter 11 characters or fewer",""
"app/main/forms.py:1174","Enter 4 characters or more",""
"app/main/forms.py:1179 app/main/forms.py:1183","Make this text message sender the default",""
"app/main/forms.py:1206 app/main/forms.py:1224 app/main/forms.py:1508 app/main/forms.py:1518 app/templates/components/table.html:167 app/templates/views/service-settings.html:488 app/templates/views/service-settings.html:506","On",""
"app/main/forms.py:1207 app/main/forms.py:1227 app/main/forms.py:1509 app/main/forms.py:1519 app/templates/components/table.html:168 app/templates/views/service-settings.html:491 app/templates/views/service-settings.html:509","Off",""
"app/main/forms.py:1241","Send {}",""
"app/main/forms.py:1255","Branding style",""
"app/main/forms.py:1260","English Government of Canada signature",""
"app/main/forms.py:1264","French Government of Canada signature",""
"app/main/forms.py:1291","Name of brand",""
"app/main/forms.py:1292 app/main/forms.py:1662 app/templates/partials/guidance/formatting.html:103 app/templates/partials/guidance/formatting.html:108","Text",""
"app/main/forms.py:1294","Colour",""
"app/main/forms.py:1298","Must be a valid color hex code (starting with #)",""
"app/main/forms.py:1302","Upload a PNG logo",""
"app/main/forms.py:1304","Brand type",""
"app/main/forms.py:1306","English Government of Canada signature and custom logo",""
"app/main/forms.py:1307","French Government of Canada signature and custom logo",""
"app/main/forms.py:1308","Custom Logo",""
"app/main/forms.py:1311","Custom Logo on a background colour",""
"app/main/forms.py:1313","No branding",""
"app/main/forms.py:1316","Select an organisation",""
"app/main/forms.py:1317","Alternative text for English logo",""
"app/main/forms.py:1318","Alternative text for French logo",""
"app/main/forms.py:1323 app/main/forms.py:1328 app/main/forms.py:1333","This field is required",""
"app/main/forms.py:1338","Upload an SVG logo",""
"app/main/forms.py:1340","SVG Images only!",""
"app/main/forms.py:1341","You need to upload a file to submit",""
"app/main/forms.py:1381","Email safelist",""
"app/main/forms.py:1388","Phone safelist",""
"app/main/forms.py:1393 app/main/forms.py:1399","Start Date",""
"app/main/forms.py:1394 app/main/forms.py:1400","End Date",""
"app/main/forms.py:1395","Include test keys",""
"app/main/forms.py:1405 app/templates/views/organisations/index.html:17 app/templates/views/organisations/organisation/settings/set-letter-branding.html:25 app/templates/views/organisations/organisation/trial-mode-services.html:13 app/templates/views/service-settings/link-service-to-organisation.html:18 app/templates/views/service-settings/set-letter-branding.html:25","Search by name",""
"app/main/forms.py:1412 app/main/forms.py:1425","Search by name or email address",""
"app/main/forms.py:1413","You need to enter full or partial email address to search by.",""
"app/main/forms.py:1419","List of UUIDs",""
"app/main/forms.py:1420","You need to enter one or more UUIDs to search by.",""
"app/main/forms.py:1432","Search by email address",""
"app/main/forms.py:1433","Search by phone number",""
"app/main/forms.py:1440","Search by email address or phone number",""
"app/main/forms.py:1472 app/main/forms.py:1490 app/main/validators.py:193","Enter a URL that starts with https://",""
"app/main/forms.py:1477 app/main/forms.py:1495","Bearer token",""
"app/main/forms.py:1480 app/main/forms.py:1498","Must be at least 10 characters",""
"app/main/forms.py:1506","Send text messages to international phone numbers",""
"app/main/forms.py:1540 app/main/forms.py:1551","What is the custom content in (({})) ?",""
"app/main/forms.py:1543","Do you want to include the content in (({})) ?",""
"app/main/forms.py:1642","Team members who can see this folder",""
"app/main/forms.py:1643 app/main/forms.py:1759 app/main/forms.py:1760","Folder name",""
"app/main/forms.py:1664","Will you send the message by email or text?",""
"app/main/forms.py:1670 app/main/forms.py:1679","Many recipients",""
"app/main/forms.py:1670 app/main/forms.py:1679","One recipient",""
"app/main/forms.py:1672 app/main/forms.py:1681 app/main/views/send.py:1197 app/templates/views/templates/add-recipients.html:6","Add recipients",""
"app/main/forms.py:1673","Email address of recipient",""
"app/main/forms.py:1682","Phone number of recipient",""
"app/main/forms.py:1755","Select a folder",""
"app/main/forms.py:1765","What do you want to clear today",""
"app/main/forms.py:1771","Go live notes",""
"app/main/forms.py:1793","Which version of the agreement do you want to accept?",""
"app/main/forms.py:1796","Who are you accepting the agreement for?",""
"app/main/forms.py:1800","Yourself",""
"app/main/forms.py:1804","Someone else",""
"app/main/forms.py:1809","What’s their name?",""
"app/main/forms.py:1812","What’s their email address?",""
"app/main/forms.py:1831","Must be a number",""
"app/main/forms.py:1836","Name of department or organisation",""
"app/main/forms.py:1841 app/main/forms.py:1880","For what purpose are you using GC Notify?",""
"app/main/forms.py:1844 app/main/forms.py:1883","Government service or program delivery",""
"app/main/forms.py:1845 app/main/forms.py:1884","Account management and verification",""
"app/main/forms.py:1846 app/main/forms.py:1885","Informational broadcasts",""
"app/main/forms.py:1847 app/main/forms.py:1886","Monitoring and alerts",""
"app/main/forms.py:1848 app/main/forms.py:1887","Scheduling and booking",""
"app/main/forms.py:1849 app/main/forms.py:1888","Workflow management",""
"app/main/forms.py:1854 app/main/forms.py:1893","Applications, permits, licenses, official documents, and benefit claims",""
"app/main/forms.py:1855 app/main/forms.py:1894","User authentication, password resets, profile updates",""
"app/main/forms.py:1856 app/main/forms.py:1895","Newsletters, digests, announcements, policy updates, general communications",""
"app/main/forms.py:1857 app/main/forms.py:1896","System status, maintenance windows, outages, closures, emergency notices",""
"app/main/forms.py:1858 app/main/forms.py:1897","Appointments, reservations, confirmations, availability updates, reminders",""
"app/main/forms.py:1859 app/main/forms.py:1898","Shift scheduling, inventory tracking, access requests, automated responses",""
"app/main/forms.py:1863 app/main/forms.py:1902","Tell us about any additional uses not listed",""
"app/main/forms.py:1867 app/main/forms.py:1906","Who are the intended recipients of notifications?",""
"app/main/forms.py:1870 app/main/forms.py:1909","Colleagues within your department",""
"app/main/forms.py:1871 app/main/forms.py:1910","Partners from other organisations",""
"app/main/forms.py:1872 app/main/forms.py:1911","Public",""
"app/main/forms.py:1948","Number must be more than {min}",""
"app/main/forms.py:1950","Number must be less than {max}",""
"app/main/forms.py:1959 app/main/forms.py:1972","None",""
"app/main/forms.py:1960 app/main/forms.py:1973","1 to {}",""
"app/main/forms.py:1963","{min} to {max}",""
"app/main/forms.py:1967 app/main/forms.py:1974","More than {}",""
"app/main/forms.py:1992","How many emails do you expect to send on a busy day?",""
"app/main/forms.py:1996","How many emails do you expect to send in a year?",""
"app/main/forms.py:2000","How many text messages do you expect to send on a busy day?",""
"app/main/forms.py:2004","How many text messages do you expect to send in a year?",""
"app/main/forms.py:2009 app/main/forms.py:2013","How many?",""
"app/main/forms.py:2064","Choose which language shows first <span class='sr-only'>&nbsp;used in the Government of Canada signature</span>",""
"app/main/forms.py:2069 app/main/forms.py:2088 app/main/forms.py:2171 app/main/forms.py:2182","You must select an option to continue",""
"app/main/forms.py:2085 app/templates/views/email-branding/branding-goc.html:28","Select alternate logo",""
"app/main/forms.py:2104","Name of logo",""
"app/main/forms.py:2104 app/templates/main_template.html:109 app/templates/views/email-branding/branding-request.html:25","Enter the name of the logo",""
"app/main/forms.py:2105 app/main/forms.py:2169 app/main/forms.py:2180 app/main/views/newsletter.py:144","English",""
"app/main/forms.py:2106 app/main/forms.py:2168 app/main/forms.py:2179 app/main/views/newsletter.py:144","French",""
"app/main/forms.py:2108 app/templates/views/email-branding/branding-request.html:32","Prepare your logo",""
"app/main/forms.py:2110 app/templates/main_template.html:110","You must select a file to continue",""
"app/main/forms.py:2120","Hide category",""
"app/main/forms.py:2120 app/templates/views/templates/template_categories.html:41","Hide",""
"app/main/forms.py:2120 app/templates/main_template.html:82 app/templates/views/templates/template_categories.html:45","Show",""
"app/main/forms.py:2122","Sending method for text messages",""
"app/main/forms.py:2122","Long code",""
"app/main/forms.py:2122","Short code",""
"app/main/forms.py:2126 app/templates/views/templates/template_categories.html:19","Email priority",""
"app/main/forms.py:2128 app/main/forms.py:2137","Priority",""
"app/main/forms.py:2130 app/main/forms.py:2139","Bulk",""
"app/main/forms.py:2135 app/templates/views/templates/template_categories.html:19","Text message priority",""
"app/main/forms.py:2147","Select your two-step verification method",""
"app/main/forms.py:2166 app/main/forms.py:2177","Choose language",""
"app/main/sitemap.py:14","About GC Notify",""
"app/main/sitemap.py:16 app/templates/partials/nav/footer.html:20 app/templates/views/activity.html:10 app/templates/views/activity.html:14","Activity on GC Notify",""
"app/main/sitemap.py:19 app/templates/partials/nav/footer.html:19","New features",""
"app/main/sitemap.py:20","Register for a demo",""
"app/main/sitemap.py:21","By and for the Government of Canada",""
"app/main/sitemap.py:24 app/templates/partials/nav/footer.html:41","Share accessibility feedback",""
"app/main/sitemap.py:29","Developers",""
"app/main/sitemap.py:31","Integrate the API",""
"app/main/sitemap.py:34 app/templates/partials/nav/footer.html:42","System status",""
"app/main/sitemap.py:39","Help and guidance",""
"app/main/sitemap.py:42","Getting started",""
"app/main/sitemap.py:44 app/templates/views/edit-email-template.html:79","Formatting emails",""
"app/main/sitemap.py:45","Using a spreadsheet",""
"app/main/sitemap.py:46","Sending custom content",""
"app/main/sitemap.py:47","Understanding delivery and failure",""
"app/main/sitemap.py:48","Updating contact information",""
"app/main/sitemap.py:51 app/templates/components/sms-character-info.html:56","Counting text message parts",""
"app/main/sitemap.py:57","Policy",""
"app/main/sitemap.py:59 app/templates/partials/nav/footer.html:74 app/templates/views/a11y.html:5 app/templates/views/a11y.html:9","Accessibility",""
"app/main/sitemap.py:60 app/templates/views/terms.html:10","GC Notify terms of use",""
"app/main/sitemap.py:61","Privacy notice for staff using GC Notify",""
"app/main/sitemap.py:62 app/templates/partials/nav/footer.html:71 app/templates/views/user-profile.html:21","Security",""
"app/main/sitemap.py:63","GC Notify service level agreement",""
"app/main/sitemap.py:66","Service level objectives: What to expect from GC Notify",""
"app/main/sitemap.py:72","Your GC Notify",""
"app/main/sitemap.py:74 app/templates/partials/nav/account_menu.html:14","Your account",""
"app/main/validators.py:25","This password is not allowed. Try a different password.",""
"app/main/validators.py:53","Not a csv file",""
"app/main/validators.py:61","is not a spreadsheet that GC Notify can read",""
"app/main/validators.py:79","{} is not a government or team email address</br>Use one of the following domains:</br>{}",""
"app/main/validators.py:100 app/templates/components/terms.html:50 app/templates/components/tou-prompt.html:35 app/templates/partials/check/too-many-email-messages.html:7 app/templates/partials/check/too-many-sms-message-parts.html:7 app/templates/views/login_events.html:33","contact us",""
"app/main/validators.py:101","{} is not on our list of government domains. If it’s a government email address, {}.",""
"app/main/validators.py:110","Enter a valid email address",""
"app/main/validators.py:123","You cannot put commas between double brackets",""
"app/main/validators.py:211 app/main/validators.py:221","Check your service is running and not using a proxy we cannot access. Received {} response",""
"app/main/validators.py:235","This cannot exceed 64 characters in length",""
"app/main/validators.py:240 app/main/views/add_service.py:131 app/main/views/service_settings.py:219","This email address is already in use",""
"app/main/validators.py:245","This cannot exceed 255 characters in length",""
"app/main/validators.py:247","Make sure we formatted your email address correctly.",""
"app/main/validators.py:254 app/main/views/add_service.py:127 app/main/views/add_service.py:259 app/main/views/service_settings.py:163","This service name is already in use",""
"app/main/validators.py:297","Your service name and email address combined are too long.",""
"app/main/views/add_service.py:31","Create service name and email address",""
"app/main/views/add_service.py:32","Choose order for official languages",""
